date,holding_month,top_holdings,top_weights,predicted_portfolio_return,forecast_portfolio_vol,gross_ret,net_ret,turnover
2021-04-30,2021-05-30,XLY|XLP|XLV,0.184|0.184|0.184,0.00785865831276273,0.12,0.04446436223746267,0.04422496592010289,0.23939631735977918
2021-05-31,2021-06-30,XLP|XLV|XLU,0.180|0.180|0.180,0.010235329053310468,0.11999999999999998,0.0087183469172678,0.008478432648288214,0.23991426897958532
2021-06-30,2021-07-30,XLC|XLV|XLP,0.178|0.178|0.178,0.006965943261046218,0.12,0.012753292983072633,0.012562440841440307,0.19085214163232517
2021-07-31,2021-08-31,XLP|XLV|XLU,0.176|0.176|0.176,0.015280858310473924,0.11999999999999998,0.03172889049455607,0.03140750276544614,0.3213877291099349
2021-08-31,2021-09-30,XLP|XLU|XLV,0.188|0.188|0.188,0.01322701546648673,0.11999999999999998,0.02599541514409002,0.025765720718771055,0.22969442531896433
2021-09-30,2021-10-30,XLP|XLV|XLU,0.159|0.159|0.159,0.009748015252251097,0.12,-0.04853965975606171,-0.04868592132618824,0.14626157012653057
2021-10-31,2021-11-30,XLC|XLP|XLU,0.175|0.175|0.175,0.014285852010073504,0.12,0.037175458894975075,0.037030671508623374,0.14478738635170274
2021-11-30,2021-12-30,XLP|XLV|XLC,0.158|0.158|0.158,0.013029237238415748,0.12,-0.020979523657572715,-0.02112186158411729,0.14233792654457741
2021-12-31,2022-01-31,XLV|XLU|XLC,0.165|0.165|0.165,0.014640198593580405,0.12,0.06517878227710974,0.06506056939313906,0.1182128839706756
2022-01-31,2022-02-28,XLP|XLI|XLV,0.143|0.143|0.143,0.009105441209949147,0.12000000000000001,-0.03304236067751902,-0.03338329039887354,0.3409297213545247
2022-02-28,2022-03-28,XLV|XLU|XLRE,0.147|0.147|0.147,0.011077254644542529,0.12000000000000001,-0.01917634788226666,-0.019391408704764215,0.2150608224975569
2022-03-31,2022-04-30,XLP|XLI|XLV,0.171|0.171|0.171,0.012862203739573277,0.12,0.04299221829882526,0.04271985134681105,0.2723669520142108
2022-04-30,2022-05-30,XLP|XLU|XLB,0.143|0.143|0.143,0.004700757165050844,0.11999999999999998,-0.022657797971339533,-0.022853093372639036,0.19529540129950176
2022-05-31,2022-06-30,XLU|XLV|XLE,0.129|0.129|0.122,0.01330410873763175,0.12,0.022022628844022743,0.021826061576563405,0.1965672674593367
2022-06-30,2022-07-30,XLP|XLI|XLU,0.132|0.132|0.132,0.00539168448149061,0.11999999999999998,-0.05344564932216324,-0.05374615347909682,0.30050415693358745
2022-07-31,2022-08-31,XLP|XLV|XLU,0.149|0.149|0.149,-1.0771079396566276e-05,0.11999999999999998,0.04332457552511398,0.043148605296396705,0.17597022871726933
2022-08-31,2022-09-30,XLP|XLV|XLU,0.151|0.151|0.151,0.0035132649919146336,0.12,-0.02221601992077759,-0.022345219340657602,0.12919941988001382
2022-09-30,2022-10-30,XLP|XLV|XLU,0.139|0.139|0.139,0.009016282445411427,0.12,-0.05903781690081111,-0.059218585989591274,0.180769088780163
2022-10-31,2022-11-30,XLF|XLI|XLV,0.129|0.129|0.129,0.007799523322420919,0.12,0.059787123133560965,0.059762370709384165,0.02475242417680368
2022-11-30,2022-12-30,XLE|XLV|XLP,0.143|0.143|0.143,0.010559947416833573,0.12,0.038325763010682516,0.03816287048463295,0.16289252604956347
2022-12-31,2023-01-31,XLF|XLI|XLP,0.159|0.159|0.159,0.011494947698484543,0.12,-0.02579361069436139,-0.025976325113447246,0.18271441908585806
2023-01-31,2023-02-28,XLF|XLB|XLV,0.157|0.157|0.157,0.013642085822905992,0.11999999999999997,0.017243578542274925,0.017083227407777297,0.16035113449762747
2023-02-28,2023-03-28,XLP|XLU|XLV,0.164|0.164|0.164,0.01200405279766836,0.12,-0.033967465168268283,-0.03405435298534167,0.08688781707338789
2023-03-31,2023-04-30,XLP|XLI|XLB,0.148|0.148|0.148,0.01085577712559837,0.12,0.01962690051734154,0.0193282053139068,0.2986952034347408
2023-04-30,2023-05-30,XLP|XLV|XLU,0.166|0.166|0.166,0.007114547365968718,0.12000000000000001,0.013438615884541979,0.0132624289099482,0.17618697459377983
2023-05-31,2023-06-30,XLP|XLB|XLV,0.179|0.179|0.179,0.007954021771962295,0.12000000000000002,-0.04338515508784207,-0.04361756870614797,0.23241361830590074
2023-06-30,2023-07-30,XLV|XLU|XLP,0.175|0.175|0.175,0.015518079946890032,0.12000000000000001,0.04074460342460717,0.040476089443885366,0.2685139807218051
2023-07-31,2023-08-31,XLP|XLV|XLI,0.178|0.178|0.178,0.01859684984816773,0.11999999999999998,0.022797674047357743,0.022628002278459125,0.16967176889861968
2023-08-31,2023-09-30,XLP|XLE|XLV,0.210|0.210|0.210,0.01746027127835606,0.12,-0.022894979663330067,-0.02329513709291177,0.40015742958170203
2023-09-30,2023-10-30,XLP|XLV|XLE,0.190|0.190|0.181,0.01057331237077408,0.12,-0.03653198949926395,-0.03673982370866417,0.20783420940021513
2023-10-31,2023-11-30,XLK|XLP|XLV,0.171|0.171|0.171,0.0066314255882640215,0.12,-0.017115520455050336,-0.017375781058063554,0.2602606030132171
2023-11-30,2023-12-30,XLP|XLF|XLV,0.194|0.194|0.194,0.009697692432649646,0.12,0.0749722620178209,0.07452718077697744,0.4450812408434576
2023-12-31,2024-01-31,XLV|XLI|XLP,0.201|0.201|0.201,0.021592717839884125,0.12,0.04278370902476895,0.04260163683739166,0.18207218737728764
2024-01-31,2024-02-29,XLP|XLF|XLI,0.217|0.217|0.217,0.015219386900496963,0.11999999999999998,0.008933458896515341,0.008696234278751623,0.23722461776371742
2024-02-29,2024-03-29,XLP|XLF|XLV,0.232|0.232|0.232,0.010859975866229828,0.12,0.048082274984585116,0.047885284408809,0.19699057577611728
2024-03-31,2024-04-30,XLY|XLE|XLI,0.251|0.251|0.251,0.021102468020723558,0.12000000000000001,0.04731823598107837,0.046881064875310914,0.43717110576745594
2024-04-30,2024-05-30,XLP|XLF|XLI,0.236|0.236|0.236,0.02689233265647783,0.12,-0.037951937088317185,-0.038552931149730504,0.6009940614133208
2024-05-31,2024-06-30,XLY|XLP|XLV,0.244|0.244|0.244,0.015335693157820657,0.12000000000000001,0.024262884401466785,0.023653656403695718,0.6092279977710677
2024-06-30,2024-07-30,XLI|XLB|XLV,0.256|0.256|0.256,0.01975526577824335,0.11999999999999998,-0.009332703861320428,-0.009898125307930404,0.565421446609976
2024-07-31,2024-08-31,XLY|XLP|XLV,0.221|0.221|0.221,0.01655943754586256,0.12,0.03957939597182221,0.03900260984037624,0.5767861314459687
2024-08-31,2024-09-30,XLP|XLC|XLU,0.216|0.216|0.185,0.016256328024854813,0.12,0.04234318215031243,0.041859929075034746,0.4832530752776845
2024-09-30,2024-10-30,XLC|XLP|XLE,0.226|0.226|0.226,0.014947677907172816,0.11999999999999998,0.0019375227652067718,0.0016267798409383104,0.3107429242684613
2024-10-31,2024-11-30,XLV|XLRE|XLU,0.210|0.210|0.210,0.013280877563881075,0.12000000000000001,-0.027568951159804296,-0.027961432572857502,0.39248141305320666
2024-11-30,2024-12-30,XLF|XLB|XLV,0.219|0.219|0.219,0.013070751936684442,0.12,0.0518268487706708,0.051242829079202495,0.5840196914683031
2024-12-31,2025-01-31,XLP|XLE|XLI,0.195|0.195|0.195,0.016471367567819,0.12,-0.08822844276977321,-0.08870710622307959,0.47866345330638616
2025-01-31,2025-02-28,XLE|XLV|XLP,0.213|0.213|0.213,0.010297817111571855,0.11999999999999998,0.040877539355058404,0.04036614997855254,0.5113893765058599
2025-02-28,2025-03-28,XLF|XLV|XLP,0.202|0.202|0.202,0.011076004769753673,0.12,0.02538307231999809,0.02505787613567004,0.325196184328048
2025-03-31,2025-04-30,XLC|XLF|XLV,0.194|0.194|0.194,0.012360330495235744,0.12,-0.028807436645817204,-0.02925094373762367,0.44350709180646275
2025-04-30,2025-05-30,XLE|XLRE|XLU,0.165|0.165|0.129,0.010908123665958615,0.12,-0.03189044255562548,-0.03234668712579656,0.456244570171078
2025-05-31,2025-06-30,XLC|XLI|XLE,0.172|0.172|0.172,0.009307647297824196,0.12,0.040417221823918076,0.04011448273315636,0.3027390907617157
2025-06-30,2025-07-30,XLP|XLV|XLC,0.191|0.191|0.191,0.004471563566785042,0.11999999999999998,0.02391461171993916,0.023610193915534202,0.30441780440495847
2025-07-31,2025-08-31,XLI|XLK|XLV,0.184|0.184|0.184,0.012866981798405942,0.11999999999999998,0.011429012075648056,0.011082750590615264,0.3462614850327916
2025-08-31,2025-09-30,XLC|XLP|XLV,0.195|0.195|0.195,0.011255459123979229,0.11999999999999998,0.027997141845261822,0.0276086943815319,0.3884474637299232
2025-09-30,2025-10-30,XLV|XLF|XLU,0.198|0.198|0.198,0.011735941197167732,0.12,0.02156044992658195,0.02121716716545876,0.3432827611231892
2025-10-31,2025-11-30,XLI|XLC|XLV,0.194|0.194|0.194,0.01541547560862443,0.12000000000000001,0.010113935409039652,0.009678647414486973,0.43528799455267875
2025-11-30,2025-12-30,XLC|XLV|XLU,0.193|0.193|0.193,0.0125994164360612,0.12,0.023026828696480886,0.022730444153532987,0.2963845429478984
2025-12-31,2026-01-31,XLC|XLI|XLP,0.216|0.216|0.216,0.01838517630218066,0.12000000000000002,-0.0012060226198298497,-0.001698112297774576,0.4920896779447262
2026-01-31,2026-02-28,XLC|XLP|XLV,0.210|0.210|0.210,0.015904894152969588,0.12000000000000001,0.028596610003371364,0.02827354506844586,0.32306493492550303
2026-02-28,2026-03-28,XLC|XLE|XLP,0.207|0.207|0.207,0.016447075178930938,0.12,0.0447607941402256,0.04450752496763245,0.2532691725931476
2026-03-31,2026-04-30,XLC|XLP|XLU,0.195|0.195|0.195,0.01569924925956081,0.12000000000000001,-0.04719894566553818,-0.04754134403702274,0.34239837148456076
2026-04-30,2026-05-30,XLC|XLF|XLP,0.208|0.208|0.208,0.011210407823131789,0.12,0.04314735276026571,0.042715065705671504,0.432287054594206
